content,Sentimen,word_count,char_count,punc_count,processed_reviews,normalized_reviews,tokens,stopword_removed,stemmed_reviews,joined_stemmed_reviews,stopword_removed_custom,stemmed_reviews_custom
"assalamualaikum pihak admin transjatim mohon ditambah halte menuju ke sunan Ampel dan kasiann para masyarakat ingin nyekar kesunan Ampel yang begitu jauh dari halte ke sunan Ampel dan jarak nya cukup jauh mohon ditambah kan halte nya sayang saya kasih bintang 2, semoga kedepannya lebih baik nya , dan mohon secepatnya menambahkan halte terimakasih",POSITIF,54,295,2,"['assalamualaikum', 'pihak', 'admin', 'transjatim', 'mohon', 'ditambah', 'halte', 'menuju', 'ke', 'sunan', 'ampel', 'dan', 'kasiann', 'para', 'masyarakat', 'ingin', 'nyekar', 'kesunan', 'ampel', 'yang', 'begitu', 'jauh', 'dari', 'halte', 'ke', 'sunan', 'ampel', 'dan', 'jarak', 'nya', 'cukup', 'jauh', 'mohon', 'ditambah', 'kan', 'halte', 'nya', 'sayang', 'saya', 'kasih', 'bintang', 'semoga', 'kedepannya', 'lebih', 'baik', 'nya', 'dan', 'mohon', 'secepatnya', 'menambahkan', 'halte', 'terimakasih']","['assalamualaikum', 'pihak', 'admin', 'transjatim', 'mohon', 'ditambah', 'halte', 'menuju', 'ke', 'sunan', 'ampel', 'dan', 'kasiann', 'para', 'masyarakat', 'ingin', 'nyekar', 'kesunan', 'ampel', 'yang', 'begitu', 'jauh', 'dari', 'halte', 'ke', 'sunan', 'ampel', 'dan', 'jarak', 'nya', 'cukup', 'jauh', 'mohon', 'ditambah', 'kan', 'halte', 'nya', 'sayang', 'saya', 'kasih', 'bintang', 'semoga', 'kedepannya', 'lebih', 'baik', 'nya', 'dan', 'mohon', 'secepatnya', 'menambahkan', 'halte', 'terimakasih']","['assalamualaikum', 'pihak', 'admin', 'transjatim', 'mohon', 'ditambah', 'halte', 'menuju', 'ke', 'sunan', 'ampel', 'dan', 'kasiann', 'para', 'masyarakat', 'ingin', 'nyekar', 'kesunan', 'ampel', 'yang', 'begitu', 'jauh', 'dari', 'halte', 'ke', 'sunan', 'ampel', 'dan', 'jarak', 'nya', 'cukup', 'jauh', 'mohon', 'ditambah', 'kan', 'halte', 'nya', 'sayang', 'saya', 'kasih', 'bintang', 'semoga', 'kedepannya', 'lebih', 'baik', 'nya', 'dan', 'mohon', 'secepatnya', 'menambahkan', 'halte', 'terimakasih']","['assalamualaikum', 'admin', 'transjatim', 'mohon', 'ditambah', 'halte', 'sunan', 'ampel', 'kasiann', 'masyarakat', 'nyekar', 'kesunan', 'ampel', 'halte', 'sunan', 'ampel', 'jarak', 'nya', 'mohon', 'ditambah', 'halte', 'nya', 'sayang', 'kasih', 'bintang', 'semoga', 'kedepannya', 'nya', 'mohon', 'secepatnya', 'halte', 'terimakasih']","['assalamualaikum', 'admin', 'transjatim', 'mohon', 'tambah', 'halte', 'sunan', 'ampel', 'kasiann', 'masyarakat', 'nyekar', 'sun', 'ampel', 'halte', 'sunan', 'ampel', 'jarak', 'nya', 'mohon', 'tambah', 'halte', 'nya', 'sayang', 'kasih', 'bintang', 'moga', 'depan', 'nya', 'mohon', 'cepat', 'halte', 'terimakasih']",assalamualaikum admin transjatim mohon tambah halte sunan ampel kasiann masyarakat nyekar sun ampel halte sunan ampel jarak nya mohon tambah halte nya sayang kasih bintang moga depan nya mohon cepat halte terimakasih,"['assalamualaikum', 'admin', 'transjatim', 'mohon', 'ditambah', 'halte', 'sunan', 'ampel', 'kasiann', 'masyarakat', 'nyekar', 'kesunan', 'ampel', 'halte', 'sunan', 'ampel', 'jarak', 'mohon', 'ditambah', 'halte', 'sayang', 'kasih', 'bintang', 'semoga', 'kedepannya', 'mohon', 'secepatnya', 'halte', 'terimakasih']","['assalamualaikum', 'admin', 'transjatim', 'mohon', 'tambah', 'halte', 'sunan', 'ampel', 'kasiann', 'masyarakat', 'nyekar', 'sun', 'ampel', 'halte', 'sunan', 'ampel', 'jarak', 'mohon', 'tambah', 'halte', 'sayang', 'kasih', 'bintang', 'moga', 'depan', 'mohon', 'cepat', 'halte', 'terimakasih']"
"Teruntuk Pramugara / Pramugari yang tegas lah dalam menjaga peraturan, masak penataan penumpang awur awuran, harus nya kan wanita depan cowo belakang, lah ini rute Paciran ngga ee... cewe di belakang semua pramugara diem aja. Tata lah minimal taat in aturan",NEGATIF,41,217,8,"['teruntuk', 'pramugara', 'pramugari', 'yang', 'tegas', 'lah', 'dalam', 'menjaga', 'peraturan', 'masak', 'penataan', 'penumpang', 'awur', 'awuran', 'harus', 'nya', 'kan', 'wanita', 'depan', 'cowo', 'belakang', 'lah', 'ini', 'rute', 'paciran', 'ngga', 'ee', 'cewe', 'di', 'belakang', 'semua', 'pramugara', 'diem', 'aja', 'tata', 'lah', 'minimal', 'taat', 'aturan']","['ter untuk', 'pramugara', 'pramugari', 'yang', 'tegas', 'lah', 'dalam', 'menjaga', 'peraturan', 'masa', 'penataan', 'penumpang', 'awur', 'awuran', 'harus', 'nya', 'kan', 'wanita', 'depan', 'cowo', 'belakang', 'lah', 'ini', 'rute', 'paciran', 'tidak', 'ee', 'cewe', 'di', 'belakang', 'semua', 'pramugara', 'diem', 'saja', 'tata', 'lah', 'minimal', 'taat', 'aturan']","['ter untuk', 'pramugara', 'pramugari', 'yang', 'tegas', 'lah', 'dalam', 'menjaga', 'peraturan', 'masa', 'penataan', 'penumpang', 'awur', 'awuran', 'harus', 'nya', 'kan', 'wanita', 'depan', 'cowo', 'belakang', 'lah', 'ini', 'rute', 'paciran', 'tidak', 'ee', 'cewe', 'di', 'belakang', 'semua', 'pramugara', 'diem', 'saja', 'tata', 'lah', 'minimal', 'taat', 'aturan']","['ter untuk', 'pramugara', 'pramugari', 'menjaga', 'peraturan', 'penataan', 'penumpang', 'awur', 'awuran', 'nya', 'wanita', 'cowo', 'rute', 'paciran', 'ee', 'cewe', 'pramugara', 'diem', 'tata', 'minimal', 'taat', 'aturan']","['ter untuk', 'pramugara', 'pramugari', 'jaga', 'atur', 'tata', 'tumpang', 'awur', 'awur', 'nya', 'wanita', 'cowo', 'rute', 'paciran', 'ee', 'cewe', 'pramugara', 'diem', 'tata', 'minimal', 'taat', 'atur']",ter untuk pramugara pramugari jaga atur tata tumpang awur awur nya wanita cowo rute paciran ee cewe pramugara diem tata minimal taat atur,"['ter untuk', 'pramugara', 'pramugari', 'menjaga', 'peraturan', 'penataan', 'penumpang', 'awur', 'awuran', 'wanita', 'cowo', 'rute', 'paciran', 'ee', 'cewe', 'pramugara', 'diem', 'tata', 'minimal', 'taat', 'aturan']","['ter untuk', 'pramugara', 'pramugari', 'jaga', 'atur', 'tata', 'tumpang', 'awur', 'awur', 'wanita', 'cowo', 'rute', 'paciran', 'ee', 'cewe', 'pramugara', 'diem', 'tata', 'minimal', 'taat', 'atur']"
Tidak bisa terhubung dengan astrapay. Padahal metode pembayaran cuman bisa pake astrapay,NEGATIF,12,77,1,"['tidak', 'bisa', 'terhubung', 'dengan', 'astrapay', 'padahal', 'metode', 'pembayaran', 'cuman', 'bisa', 'pake', 'astrapay']","['tidak', 'bisa', 'terhubung', 'dengan', 'astrapay', 'padahal', 'metode', 'pembayaran', 'cuman', 'bisa', 'pake', 'astrapay']","['tidak', 'bisa', 'terhubung', 'dengan', 'astrapay', 'padahal', 'metode', 'pembayaran', 'cuman', 'bisa', 'pake', 'astrapay']","['terhubung', 'astrapay', 'metode', 'pembayaran', 'cuman', 'pake', 'astrapay']","['hubung', 'astrapay', 'metode', 'bayar', 'cuman', 'pake', 'astrapay']",hubung astrapay metode bayar cuman pake astrapay,"['terhubung', 'astrapay', 'metode', 'pembayaran', 'cuman', 'pake', 'astrapay']","['hubung', 'astrapay', 'metode', 'bayar', 'cuman', 'pake', 'astrapay']"
Alhamdulillah dengan adanya tran lebih mudah mau bepergian kemana saja,POSITIF,10,61,0,"['alhamdulillah', 'dengan', 'adanya', 'tran', 'lebih', 'mudah', 'mau', 'bepergian', 'kemana', 'saja']","['alhamdulillah', 'dengan', 'adanya', 'tran', 'lebih', 'mudah', 'mau', 'bepergian', 'kemana', 'saja']","['alhamdulillah', 'dengan', 'adanya', 'tran', 'lebih', 'mudah', 'mau', 'bepergian', 'kemana', 'saja']","['alhamdulillah', 'tran', 'mudah', 'bepergian', 'kemana']","['alhamdulillah', 'tran', 'mudah', 'pergi', 'mana']",alhamdulillah tran mudah pergi mana,"['alhamdulillah', 'tran', 'mudah', 'bepergian', 'kemana']","['alhamdulillah', 'tran', 'mudah', 'pergi', 'mana']"
"bus nya keren dan nyaman. tapi sayang nya kendaraan nya masih kurang banyak terutama untuk rute Gresik - Sidoarjo. banyak penumpang yang di tolak karena bus terlalu full, bahkan penumpang yang sudah di dalam bus pun harus berdempet dempet an. saya harap untuk bisa ditambah lagi bus nya, agar tidak menunggu terlalu lama.",POSITIF,53,269,7,"['bus', 'nya', 'keren', 'dan', 'nyaman', 'tapi', 'sayang', 'nya', 'kendaraan', 'nya', 'masih', 'kurang', 'banyak', 'terutama', 'untuk', 'rute', 'gresik', 'sidoarjo', 'banyak', 'penumpang', 'yang', 'di', 'tolak', 'karena', 'bus', 'terlalu', 'full', 'bahkan', 'penumpang', 'yang', 'sudah', 'di', 'dalam', 'bus', 'pun', 'harus', 'berdempet', 'dempet', 'saya', 'harap', 'untuk', 'bisa', 'ditambah', 'lagi', 'bus', 'nya', 'agar', 'tidak', 'menunggu', 'terlalu', 'lama']","['bus', 'nya', 'keren', 'dan', 'nyaman', 'tapi', 'sayang', 'nya', 'kendaraan', 'nya', 'masih', 'kurang', 'banyak', 'terutama', 'untuk', 'rute', 'gresik', 'sidoarjo', 'banyak', 'penumpang', 'yang', 'di', 'tolak', 'karena', 'bus', 'terlalu', 'full', 'bahkan', 'penumpang', 'yang', 'sudah', 'di', 'dalam', 'bus', 'pun', 'harus', 'berdempet', 'dempet', 'saya', 'harap', 'untuk', 'bisa', 'ditambah', 'lagi', 'bus', 'nya', 'agar', 'tidak', 'menunggu', 'terlalu', 'lama']","['bus', 'nya', 'keren', 'dan', 'nyaman', 'tapi', 'sayang', 'nya', 'kendaraan', 'nya', 'masih', 'kurang', 'banyak', 'terutama', 'untuk', 'rute', 'gresik', 'sidoarjo', 'banyak', 'penumpang', 'yang', 'di', 'tolak', 'karena', 'bus', 'terlalu', 'full', 'bahkan', 'penumpang', 'yang', 'sudah', 'di', 'dalam', 'bus', 'pun', 'harus', 'berdempet', 'dempet', 'saya', 'harap', 'untuk', 'bisa', 'ditambah', 'lagi', 'bus', 'nya', 'agar', 'tidak', 'menunggu', 'terlalu', 'lama']","['bus', 'nya', 'keren', 'nyaman', 'sayang', 'nya', 'kendaraan', 'nya', 'rute', 'gresik', 'sidoarjo', 'penumpang', 'tolak', 'bus', 'full', 'penumpang', 'bus', 'berdempet', 'dempet', 'harap', 'ditambah', 'bus', 'nya', 'menunggu']","['bus', 'nya', 'keren', 'nyaman', 'sayang', 'nya', 'kendara', 'nya', 'rute', 'gresik', 'sidoarjo', 'tumpang', 'tolak', 'bus', 'full', 'tumpang', 'bus', 'dempet', 'dempet', 'harap', 'tambah', 'bus', 'nya', 'tunggu']",bus nya keren nyaman sayang nya kendara nya rute gresik sidoarjo tumpang tolak bus full tumpang bus dempet dempet harap tambah bus nya tunggu,"['bus', 'keren', 'nyaman', 'sayang', 'kendaraan', 'rute', 'gresik', 'sidoarjo', 'penumpang', 'tolak', 'bus', 'full', 'penumpang', 'bus', 'berdempet', 'dempet', 'harap', 'ditambah', 'bus', 'menunggu']","['bus', 'keren', 'nyaman', 'sayang', 'kendara', 'rute', 'gresik', 'sidoarjo', 'tumpang', 'tolak', 'bus', 'full', 'tumpang', 'bus', 'dempet', 'dempet', 'harap', 'tambah', 'bus', 'tunggu']"
Dapat di pahami.. bagus apknya,POSITIF,5,26,2,"['dapat', 'di', 'pahami', 'bagus', 'apknya']","['dapat', 'di', 'pahami', 'bagus', 'apknya']","['dapat', 'di', 'pahami', 'bagus', 'apknya']","['pahami', 'bagus', 'apknya']","['paham', 'bagus', 'apknya']",paham bagus apknya,"['pahami', 'bagus', 'apknya']","['paham', 'bagus', 'apknya']"
Mempermudah sekali dgn adanya apk ini,POSITIF,6,32,0,"['mempermudah', 'sekali', 'dgn', 'adanya', 'apk', 'ini']","['mempermudah', 'sekali', 'dengan', 'adanya', 'apk', 'ini']","['mempermudah', 'sekali', 'dengan', 'adanya', 'apk', 'ini']","['mempermudah', 'apk']","['mudah', 'apk']",mudah apk,"['mempermudah', 'apk']","['mudah', 'apk']"
Tolong dong hubungkan dgn pembayaran yg lainnya... Selain astrapay.,POSITIF,9,59,4,"['tolong', 'dong', 'hubungkan', 'dgn', 'pembayaran', 'yg', 'lainnya', 'selain', 'astrapay']","['tolong', '', 'hubungkan', 'dengan', 'pembayaran', 'yang', 'lainnya', 'selain', 'astrapay']","['tolong', '', 'hubungkan', 'dengan', 'pembayaran', 'yang', 'lainnya', 'selain', 'astrapay']","['tolong', '', 'hubungkan', 'pembayaran', 'astrapay']","['tolong', '', 'hubung', 'bayar', 'astrapay']",tolong  hubung bayar astrapay,"['tolong', '', 'hubungkan', 'pembayaran', 'astrapay']","['tolong', '', 'hubung', 'bayar', 'astrapay']"
Semoga di tambah lagi ke arah bojonegoro,POSITIF,7,34,0,"['semoga', 'di', 'tambah', 'lagi', 'ke', 'arah', 'bojonegoro']","['semoga', 'di', 'tambah', 'lagi', 'ke', 'arah', 'bojonegoro']","['semoga', 'di', 'tambah', 'lagi', 'ke', 'arah', 'bojonegoro']","['semoga', 'arah', 'bojonegoro']","['moga', 'arah', 'bojonegoro']",moga arah bojonegoro,"['semoga', 'arah', 'bojonegoro']","['moga', 'arah', 'bojonegoro']"
Let's go,POSITIF,2,7,1,"['lets', 'go']","['lets', 'go']","['lets', 'go']","['lets', 'go']","['lets', 'go']",lets go,"['lets', 'go']","['lets', 'go']"
